1,7,1,322.503,255.683,102.224
1,5,4,196.097,116.031,70.723
5,2,5,178.39,118.28,121.167
1,3,1,64.208,198.393,72.341
5,6,8,2.908,359.374,192.969
1,8,0,40.058,47.429,350.93
1,8,5,318.024,129.71,21.191
5,5,2,333.133,160.42,182.444
4,6,5,174.908,330.501,66.305
2,0,5,65.845,222.66,228.594
0,6,4,100.061,35.881,42.019
4,0,4,137.166,239.595,269.508
0,0,1,68.557,242.51,336.189
1,4,7,351.726,94.705,309.07
4,3,5,77.811,117.29,242.659
8,1,1,304.251,41.035,149.467
2,7,0,188.784,330.592,293.363
8,8,4,146.192,123.131,166.397
3,2,7,293.128,97.985,20.619
1,6,2,279.615,152.933,69.952
1,6,5,267.618,119.647,165.052
8,7,0,241.568,23.871,124.283
8,1,7,290.752,280.09,60.906
7,2,4,266.173,342.423,178.387
1,6,4,262.999,177.528,293.053
2,4,4,278.992,271.814,280.288
6,8,5,134.452,43.226,28.508
3,7,1,71.283,296.207,340.11
7,3,1,221.829,162.92,16.774
4,6,7,60.723,104.655,201.811
7,2,8,8.076,250.578,114.771
7,8,3,43.714,305.479,144.194
6,1,8,192.528,58.686,358.624
2,4,4,34.146,256.149,64.53
7,0,4,97.692,300.578,278.182
8,2,2,167.366,108.964,276.653
4,6,6,130.645,251.594,207.089
7,5,5,143.822,156.533,209.552
8,1,3,118.121,9.273,125.786
6,3,8,267.136,171.869,85.266
1,3,7,145.71,90.319,144.264
5,6,7,95.09,2.67,205.433
0,8,8,236.92,195.335,78.283
2,2,5,64.744,301.954,96.182
1,4,8,133.722,338.239,337.512
7,5,3,225.129,267.162,90.152
2,4,0,351.528,258.06,240.781
3,7,1,47.86,268.038,217.532
5,6,2,134.751,53.904,197.801
1,0,4,266.522,200.141,282.788
5,2,5,194.297,51.509,215.518
4,6,3,246.109,271.705,24.594
5,3,1,323.713,357.707,247.882
7,8,2,186.087,10.779,57.468
0,6,3,214.091,140.928,289.271
8,2,4,339.911,262.078,122.734
3,0,8,24.947,22.914,168.522
6,0,2,294.894,227.34,323.166
3,3,6,121.936,177.739,172.802
5,4,5,76.748,123.076,151.455
6,1,2,7.369,97.315,85.977
2,2,6,307.953,96.807,32.294
1,0,7,19.57,119.698,347.121
1,6,7,113.156,356.442,69.998
3,4,3,26.312,75.715,135.504
2,0,3,247.556,123.061,324.599
8,8,1,335.26,65.233,271.578
3,6,5,311.005,202.946,189.041
3,4,3,197.649,182.452,168.719
4,8,0,144.36,20.393,317.396
4,1,7,220.554,351.969,285.65
0,7,3,263.86,40.943,267.503
3,3,2,250.805,66.806,103.281
2,4,8,114.536,105.667,29.652
7,7,0,85.196,102.387,58.429
2,5,7,323.036,352.032,52.891
8,7,0,341.332,128.094,171.446
5,2,3,162.908,111.624,41.177
3,3,4,334.744,139.791,116.853
8,7,4,189.364,77.067,224.38
2,5,6,291.049,145.135,269.243
0,0,5,5.579,59.379,198.245
8,6,1,333.77,41.628,275.97
7,2,3,190.776,205.494,38.97
2,6,2,219.132,18.828,131.903
2,8,0,72.17,196.473,300.416
7,7,2,72.685,202.558,277.304
8,1,7,142.243,315.394,110.58
6,3,4,274.143,264.343,71.775
6,0,6,265.365,169.468,133.763
4,1,2,81.571,268.718,342.993
6,5,7,106.545,86.378,199.783
8,6,8,198.47,156.785,61.32
8,0,5,221.102,309.679,289.097
7,4,7,86.797,324.864,199.03
3,8,1,305.915,40.081,215.677
6,2,6,258.994,332.892,328.12
2,1,3,177.652,212.973,263.337
0,3,4,94.343,188.491,25.165
1,8,2,70.091,90.434,204.827
4,0,7,93.109,195.638,287.697
1,0,0,257.876,292.689,129.539
6,6,1,230.055,310.67,310.325
1,4,7,294.332,336.731,250.359
3,6,2,97.255,147.707,73.172
1,5,8,341.756,12.399,250.35
3,5,1,250.284,281.568,347.722
3,0,7,116.19,183.083,144.839
2,7,6,190.613,350.579,231.242
6,7,7,198.821,120.271,5.621
4,6,1,285.764,166.715,28.099
6,0,6,73.839,231.031,293.128
3,8,5,116.553,219.063,29.271
5,7,1,180.354,87.458,164.958
4,2,1,161.01,13.484,128.714
