-2,-1,2,170.597,224.866,333.472,212500
1,-1,1,76.75,78.401,74.837,212501
0,3,3,254.0,124.196,158.078,212502
-2,-3,-4,28.382,47.532,75.652,212503
2,3,0,251.878,103.386,203.924,212504
1,1,3,39.07,222.905,222.558,212505
1,-4,-3,143.882,157.559,337.186,212506
-1,3,-2,252.457,196.777,56.764,212507
-4,3,1,120.806,77.732,21.226,212508
3,-3,2,311.353,172.704,239.016,212509
0,1,-3,189.538,103.898,274.782,212510
-3,3,-2,98.261,18.062,62.863,212511
2,-1,-2,243.132,21.453,330.438,212512
-3,2,-4,44.775,64.212,266.293,212513
-2,0,3,305.578,265.492,113.112,212514
2,2,-3,232.129,3.133,259.36,212515
-3,0,-3,89.802,254.094,253.876,212516
-2,3,1,238.056,15.754,167.534,212517
0,-2,0,12.037,9.192,284.127,212518
-1,-1,-2,172.014,33.873,232.937,212519
3,-3,1,277.584,264.902,314.48,212520
0,3,-3,62.345,272.002,352.742,212521
-4,1,2,144.369,234.326,62.844,212522
-3,-2,-3,275.435,131.44,267.327,212523
1,0,-1,39.293,235.511,274.02,212524
-4,1,2,121.211,329.696,118.12,212525
1,-3,2,33.908,110.087,229.877,212526
3,-3,-4,266.412,48.469,332.86,212527
-2,2,3,308.684,61.288,341.431,212528
-2,-4,-4,38.772,197.096,102.345,212529
1,-2,0,221.205,107.957,210.575,212530
-1,-2,-2,167.835,138.983,257.027,212531
-3,-3,-3,110.913,318.49,233.669,212532
3,0,-2,31.559,8.43,179.909,212533
0,-1,-3,208.978,227.472,173.154,212534
1,-1,-1,84.619,310.594,125.398,212535
0,3,2,71.014,32.725,102.708,212536
2,1,3,228.128,123.38,224.532,212537
3,0,-1,36.79,286.773,301.274,212538
-4,2,-4,204.007,210.901,288.122,212539
-4,-4,1,221.104,123.73,344.625,212540
-1,1,0,58.749,257.76,281.834,212541
-3,3,2,248.068,133.835,56.854,212542
-2,-2,1,94.407,302.824,258.207,212543
-2,2,1,32.936,336.828,301.287,212544
-2,-1,-4,80.952,91.286,326.812,212545
3,1,0,296.279,115.339,207.872,212546
-3,-3,-2,243.77,293.534,357.367,212547
3,-1,-3,48.089,344.352,147.913,212548
-4,1,-3,13.865,153.255,57.388,212549
1,-2,-1,81.448,60.512,255.697,212550
-2,1,3,284.192,34.039,243.414,212551
1,-2,0,112.918,259.57,43.058,212552
1,-2,-3,56.859,265.877,230.178,212553
-2,3,3,217.014,300.925,255.941,212554
-1,-1,-4,217.58,118.315,117.357,212555
0,-1,-4,61.696,258.286,130.296,212556
-4,-1,-3,16.303,54.874,12.43,212557
2,2,3,94.864,15.688,147.017,212558
1,3,-4,198.928,54.419,189.638,212559
1,-1,-1,276.556,359.994,218.432,212560
3,-3,-4,219.734,31.791,299.438,212561
-4,-1,-2,50.424,354.029,338.716,212562
1,1,-1,73.045,322.075,335.835,212563
3,-1,2,3.341,215.535,92.067,212564
-1,-3,0,234.685,124.788,174.272,212565
2,1,0,70.68,257.571,137.202,212566
-4,-4,-1,202.96,311.22,92.154,212567
-2,2,2,59.406,267.529,210.582,212568
-3,-3,3,33.262,140.777,152.697,212569
-4,-3,0,282.997,49.138,78.815,212570
1,3,-3,74.466,305.912,184.378,212571
-3,3,-1,340.972,84.422,304.071,212572
3,2,0,122.643,23.998,346.092,212573
2,-4,-2,254.501,36.647,282.824,212574
-4,-3,-2,168.745,249.524,341.397,212575
-4,-2,0,179.167,216.904,356.843,212576
3,1,2,43.935,165.807,222.333,212577
-4,3,-3,52.683,355.928,14.323,212578
2,-4,-4,120.382,172.605,228.903,212579
0,1,-4,101.499,142.455,103.047,212580
3,-3,3,351.003,198.233,74.486,212581
-3,-2,1,346.729,348.954,206.996,212582
-1,-4,3,319.019,1.171,220.952,212583
-2,2,-2,197.925,186.496,347.464,212584
3,0,0,125.866,314.03,94.182,212585
-1,-4,-4,258.803,263.723,202.817,212586
-3,2,-4,288.033,262.296,156.89,212587
-4,-4,2,167.306,59.46,303.879,212588
-2,2,1,69.275,87.397,5.173,212589
2,-3,3,316.084,88.853,226.517,212590
3,0,-1,151.229,285.761,97.317,212591
0,0,-1,303.873,212.115,232.711,212592
-4,-3,1,209.047,9.589,154.498,212593
1,3,-3,165.999,174.462,311.922,212594
-4,2,-1,200.702,48.795,210.216,212595
-2,2,-1,84.249,0.991,270.475,212596
-1,0,1,26.932,180.132,168.582,212597
1,2,1,81.733,321.472,287.572,212598
2,1,-2,76.031,358.486,35.694,212599
2,1,3,321.594,196.213,122.222,212600
-1,2,-1,48.603,96.685,213.922,212601
-4,0,-2,96.584,58.473,258.912,212602
-3,-3,-2,357.204,167.206,11.022,212603
-1,-3,3,6.511,102.969,308.352,212604
0,1,-1,137.524,353.881,263.569,212605
-3,0,-1,218.674,17.425,172.897,212606
3,2,0,226.36,167.924,286.526,212607
