0,2,4,269.755,199.829,305.097
2,4,6,177.853,292.817,27.613
7,3,8,268.347,117.861,165.779
4,1,3,33.833,16.155,261.552
4,3,5,281.932,180.051,211.727
8,7,6,82.682,3.81,114.23
0,8,4,121.08,2.304,272.069
0,4,1,208.526,171.808,274.68
1,2,8,221.202,121.096,219.379
1,4,6,253.401,98.408,306.25
4,5,2,41.08,175.478,108.184
7,2,8,282.124,254.041,241.583
4,7,5,279.444,218.805,116.515
2,0,2,192.203,35.429,167.749
1,6,6,283.941,257.546,42.443
1,8,3,43.041,108.612,324.493
7,1,8,237.44,30.082,73.888
1,8,8,190.83,267.056,333.022
2,5,6,268.104,83.82,37.242
8,3,6,61.675,211.659,276.301
7,2,0,33.377,279.254,32.912
5,8,7,87.922,137.023,266.132
1,2,8,319.723,106.575,226.392
1,2,2,261.471,68.543,179.996
5,3,4,96.86,130.526,338.744
8,8,7,143.427,132.571,42.681
1,5,3,59.015,265.278,275.847
8,5,7,88.242,42.337,193.751
2,7,7,25.856,280.939,316.048
4,3,8,89.976,179.105,222.502
0,3,8,63.436,58.889,7.87
3,1,7,340.288,73.034,181.168
5,5,1,178.147,215.453,162.357
0,1,3,21.799,100.116,137.388
6,6,7,86.414,254.897,304.131
5,7,5,10.569,205.896,154.376
3,1,6,163.108,328.018,49.285
5,1,2,240.004,39.048,175.585
2,7,6,124.967,7.012,12.201
2,6,5,3.235,10.583,352.87
3,5,8,205.119,219.715,27.872
8,2,1,323.022,174.213,233.903
2,7,3,13.583,316.708,150.95
7,8,3,210.283,42.308,176.291
0,3,1,77.056,197.539,304.078
2,5,4,48.482,285.884,122.293
5,2,0,309.63,39.718,80.365
1,3,8,111.609,12.364,13.826
5,7,7,65.108,292.715,105.132
2,3,6,181.946,117.883,23.548
8,5,7,304.083,3.502,148.921
8,1,5,227.694,79.892,256.7
0,3,7,25.56,228.776,291.27
1,3,6,18.5,211.41,72.382
1,2,5,95.877,115.178,203.725
4,8,4,168.715,138.009,51.173
7,0,1,297.924,122.717,91.847
5,0,2,157.223,253.956,346.599
6,4,8,79.553,208.627,281.664
6,5,1,113.438,265.597,111.199
6,5,8,342.615,100.866,68.342
4,6,8,319.727,27.238,295.133
6,3,6,23.936,323.934,301.908
2,1,1,100.479,153.213,320.105
8,3,8,43.248,9.554,355.113
5,5,6,206.457,104.021,98.974
8,1,2,226.178,305.425,261.346
2,1,1,288.884,52.39,268.727
0,7,5,107.772,229.629,36.225
0,0,2,84.253,204.695,76.802
5,6,1,83.729,60.286,353.327
7,6,6,311.681,103.99,145.358
0,0,3,85.033,111.562,282.304
8,6,8,223.883,354.426,289.272
7,4,2,286.001,10.146,120.913
0,0,7,149.191,79.589,347.75
7,2,4,141.23,279.819,249.225
3,1,5,272.626,355.981,295.953
2,0,5,316.929,283.159,267.63
1,3,7,310.492,291.782,103.741
8,4,0,170.523,120.781,187.959
6,7,3,161.461,268.001,220.096
4,6,7,351.577,294.417,338.222
1,6,5,313.084,143.531,275.796
8,8,2,321.692,54.616,42.555
0,8,7,229.869,168.638,169.684
6,4,0,50.995,137.62,249.116
4,0,8,320.419,221.484,24.157
3,0,5,343.846,192.796,112.892
0,7,3,46.474,218.038,81.06
4,4,1,167.799,113.224,131.501
7,5,2,333.51,327.021,201.984
3,3,7,298.65,191.855,87.563
7,4,8,218.733,167.069,80.183
2,7,3,123.113,9.914,258.156
1,6,1,352.364,353.435,39.66
3,6,5,209.553,109.051,195.655
1,7,6,306.225,62.034,29.49
5,0,4,180.544,316.765,232.936
7,6,0,214.849,103.571,63.907
0,5,7,338.249,63.257,168.838
8,7,8,89.424,271.179,55.329
3,6,4,68.495,356.438,349.43
4,3,2,109.732,62.765,47.086
5,0,6,135.037,13.884,266.102
1,1,8,83.104,307.481,11.257
5,8,4,116.12,154.494,162.33
3,7,3,337.641,108.692,342.598
7,5,8,48.407,235.704,131.891
1,5,6,223.651,231.483,250.022
5,3,1,254.289,9.775,206.666
0,7,5,210.582,138.393,75.925
1,8,7,211.81,172.271,272.615
3,8,0,8.381,346.967,94.963
6,0,5,73.958,343.383,272.41
1,5,4,315.069,325.669,282.812
6,1,2,336.538,42.949,12.933
6,5,0,313.759,70.521,185.256
4,3,7,211.741,136.569,267.83
