1,4,7,62.011,210.446,131.895
3,3,3,203.158,109.441,306.404
3,7,7,248.568,347.676,73.618
7,7,7,71.306,299.414,338.859
5,3,7,346.724,114.734,199.541
1,6,7,265.388,234.531,312.279
2,7,3,141.088,318.797,91.9
2,6,8,187.207,14.443,359.125
3,6,5,62.413,358.939,279.911
3,7,1,116.571,105.737,207.702
3,1,3,25.541,218.116,48.647
6,2,3,281.046,32.778,210.128
5,8,3,150.239,347.916,272.227
6,4,0,175.413,178.197,31.668
6,3,7,66.367,321.829,288.828
7,7,5,101.949,188.089,95.005
7,2,5,21.187,341.333,216.105
0,3,2,49.831,173.889,304.903
8,7,8,78.397,119.941,60.751
4,0,2,173.028,84.648,227.717
1,1,7,74.489,29.318,183.479
3,8,5,157.511,264.834,47.353
3,0,5,25.472,306.719,168.416
0,4,0,25.961,96.695,19.85
3,4,2,268.752,143.011,274.62
6,6,3,250.152,118.97,153.155
3,8,7,99.678,276.283,350.782
6,4,3,250.571,326.068,107.432
0,7,2,151.217,12.39,136.565
5,3,2,197.586,25.281,260.156
7,0,5,257.69,272.193,110.754
1,8,7,280.311,89.859,222.261
1,2,5,74.561,178.671,283.546
0,3,4,256.035,229.915,108.635
8,0,7,132.678,322.758,228.427
1,7,6,48.524,269.917,295.258
1,2,4,14.366,68.459,0.785
4,3,0,22.737,187.371,116.626
6,3,2,266.588,308.543,20.691
7,7,7,119.183,4.154,338.656
8,6,4,56.428,173.603,203.156
5,5,3,329.475,32.135,336.996
1,5,6,349.093,237.28,246.204
5,2,5,91.43,336.951,152.61
5,6,8,184.571,261.09,232.826
5,4,3,64.265,223.233,346.431
6,3,6,103.476,128.945,127.798
5,6,6,274.075,292.611,68.409
6,7,3,96.163,198.323,235.343
2,3,7,331.594,348.83,354.784
8,6,0,115.009,177.919,259.149
6,1,8,71.014,324.326,240.313
1,3,3,193.48,45.623,187.509
1,7,0,273.782,142.141,250.96
0,1,0,168.762,6.541,0.907
3,7,5,2.512,115.832,79.673
6,1,3,210.288,240.565,49.629
6,2,2,203.606,357.649,198.007
7,8,3,95.239,12.982,282.447
1,0,4,18.689,209.879,59.569
5,4,6,288.15,342.403,256.398
1,2,5,75.546,7.355,267.306
1,5,5,47.042,114.949,323.021
2,7,6,185.422,82.185,359.047
8,0,3,172.539,345.856,92.287
0,6,5,309.271,209.084,219.775
6,3,5,139.752,283.42,154.535
3,6,0,154.509,266.228,217.309
8,1,8,110.111,261.408,107.36
0,5,3,49.224,15.788,243.074
4,1,3,184.256,0.359,294.137
0,0,5,130.415,24.868,226.37
3,7,0,4.599,281.464,232.803
6,0,7,298.864,124.276,172.554
0,6,0,242.053,105.584,54.863
0,5,6,349.623,92.15,206.308
2,1,0,335.919,194.391,59.417
5,4,7,263.443,203.088,328.182
3,1,0,19.625,68.161,257.145
5,6,6,71.969,323.36,197.8
7,1,3,302.306,296.854,161.106
6,5,2,113.547,210.175,101.984
5,4,2,80.218,125.154,146.295
5,4,2,47.57,135.316,156.261
3,8,0,5.897,245.993,309.656
3,1,2,339.193,178.597,124.813
6,6,2,69.736,229.073,114.591
3,1,0,104.135,271.835,282.259
5,4,5,250.43,276.738,232.813
1,0,4,276.571,178.402,45.128
6,8,6,359.846,54.25,295.057
6,5,2,303.493,297.915,208.513
3,2,7,290.812,10.377,302.83
5,3,1,274.351,13.422,359.842
0,3,1,113.11,248.185,243.779
8,7,2,311.863,330.425,166.779
0,8,4,0.455,326.692,228.372
4,1,2,328.626,238.556,259.504
0,2,6,111.292,223.125,142.21
4,8,8,81.049,224.039,227.349
6,7,1,63.86,132.495,109.997
7,0,4,46.832,352.513,60.275
6,4,5,241.288,328.476,250.158
1,6,2,259.106,224.037,59.16
2,4,7,138.745,82.053,236.654
3,8,1,352.082,144.152,166.555
4,6,1,238.223,350.315,342.096
1,4,0,60.508,36.498,155.875
3,8,1,328.033,243.141,275.349
5,0,3,326.393,280.57,155.687
5,5,8,27.618,185.11,329.843
3,2,1,77.881,60.983,123.927
2,6,3,122.025,288.154,29.606
0,8,3,148.066,286.455,16.958
2,7,8,342.368,235.481,166.96
4,1,6,91.911,281.247,335.167
2,0,6,116.146,148.97,206.693
3,3,3,193.514,88.996,133.474
0,7,6,294.772,167.148,6.145
3,4,4,250.006,137.453,257.637
8,5,4,117.278,66.467,10.555
4,8,6,168.716,103.848,124.121
6,7,5,128.749,70.182,261.633
0,5,6,231.224,129.339,147.585
8,2,4,246.833,78.303,204.409
7,2,0,225.547,332.68,168.773
5,7,6,45.135,81.979,132.185
5,0,7,340.659,300.316,359.24
2,2,5,350.317,32.637,110.738
2,0,0,29.634,69.002,282.115
5,1,5,178.732,54.823,13.465
3,6,0,305.864,203.149,110.354
8,6,2,168.349,27.727,343.581
1,1,2,292.225,221.965,247.43
2,5,7,112.486,202.262,213.135
2,2,4,289.732,301.704,159.739
4,0,8,100.747,164.252,50.287
2,8,4,184.584,242.482,168.11
6,0,4,16.656,3.817,290.318
7,1,8,279.068,42.844,105.904
4,2,3,310.553,204.16,116.506
5,3,3,9.101,186.094,222.827
0,5,0,291.626,37.142,218.169
5,8,4,85.258,146.76,294.8
1,5,4,148.02,161.622,282.819
2,1,7,314.574,176.299,136.001
8,4,7,311.98,234.069,282.103
1,3,4,354.407,306.506,114.246
2,7,5,304.167,269.924,33.893
6,5,8,344.688,161.692,226.788
8,7,7,266.294,35.364,201.871
4,5,3,140.693,207.087,273.246
3,5,0,145.886,81.054,266.49
7,5,0,231.425,287.814,319.675
2,2,5,17.317,88.018,220.427
1,8,7,118.862,4.186,126.709
0,1,3,296.077,355.84,106.152
5,5,5,328.855,347.684,83.514
0,5,4,314.437,340.931,303.885
5,4,4,337.88,323.449,344.098
7,1,2,259.313,103.979,17.43
7,5,3,303.578,327.632,159.714
8,4,1,215.358,139.292,314.936
1,3,5,7.637,40.893,203.297
0,5,2,102.146,36.587,85.209
3,8,0,107.435,255.091,223.906
7,1,0,146.69,81.008,168.255
7,4,0,172.1,155.234,93.174
3,0,1,198.847,304.308,324.397
1,2,3,178.159,105.657,142.354
1,1,3,171.491,108.826,177.283
8,0,0,346.788,336.685,182.328
2,5,4,45.076,73.536,249.268
2,4,4,148.765,16.698,170.526
3,1,4,74.703,314.982,314.886
3,7,7,336.803,102.96,352.2
4,7,2,205.612,181.065,94.166
5,8,1,21.156,209.265,135.801
1,1,0,232.567,301.706,269.93
2,7,7,134.711,199.714,319.338
1,2,8,238.62,342.448,177.596
8,8,2,33.564,342.349,128.274
2,7,8,86.455,200.172,142.492
8,6,6,53.288,341.138,256.536
5,7,7,278.391,48.676,356.104
7,0,0,128.398,235.642,52.09
1,7,8,9.426,147.951,84.68
0,6,1,77.888,82.91,321.39
2,5,4,272.392,71.648,3.934
1,2,5,50.484,153.817,119.773
8,1,4,54.219,176.723,310.686
1,8,5,112.15,301.987,151.697
5,7,5,11.14,34.225,227.861
2,3,6,54.811,156.01,225.515
6,0,1,54.194,291.046,347.018
1,4,0,182.346,23.512,105.283
6,4,6,175.648,156.288,77.806
1,8,4,47.941,313.509,6.194
4,2,2,283.803,169.362,213.873
6,8,2,16.188,279.731,119.042
1,8,3,302.601,170.335,202.204
8,1,6,207.358,273.204,226.687
3,7,4,223.437,266.235,110.957
2,4,1,122.986,141.637,3.067
8,6,1,265.562,349.956,358.717
5,3,4,185.506,201.522,337.106
6,5,7,290.517,139.507,318.966
3,1,0,30.587,339.229,194.765
5,3,5,319.352,245.496,24.801
2,6,7,0.887,162.817,312.174
3,6,4,12.425,342.965,175.157
1,7,0,173.898,269.786,311.878
7,7,0,5.55,278.23,88.124
2,2,4,36.969,12.852,142.896
6,8,0,157.478,297.737,300.572
3,3,6,80.798,60.603,308.573
5,4,5,285.159,264.24,253.745
0,2,2,53.529,121.212,331.036
8,3,4,254.36,232.235,85.672
4,0,2,286.02,154.302,8.918
7,2,3,174.184,254.345,208.881
2,2,6,263.069,8.827,6.104
7,6,2,202.876,83.271,36.382
2,4,1,275.62,37.407,318.565
7,5,4,96.154,342.762,215.683
4,7,4,30.231,165.117,155.773
7,7,1,336.409,117.4,91.195
2,8,5,28.38,76.681,42.588
2,1,8,95.162,310.509,248.576
6,5,5,129.198,303.389,35.795
5,4,7,23.107,125.605,305.356
0,5,8,213.513,282.92,256.79
4,7,1,307.32,196.28,138.025
8,1,8,307.968,14.476,242.949
3,6,5,353.255,7.325,180.288
5,7,4,349.438,291.383,230.883
6,7,4,92.554,13.926,167.669
