0,2,4,267.362,157.089,253.123
4,2,5,162.89,258.365,63.836
6,0,3,3.279,155.23,133.946
8,8,3,313.203,49.095,344.889
0,8,2,155.628,154.515,257.281
2,0,3,64.068,351.065,103.363
8,5,0,65.112,138.915,234.124
5,5,1,149.656,0.641,299.676
8,0,0,79.02,169.086,5.374
7,4,0,357.077,238.427,24.486
6,2,3,17.083,20.628,73.315
5,5,1,3.397,342.363,287.065
1,8,0,118.514,201.427,128.495
1,2,5,343.91,65.707,90.96
6,2,0,213.611,315.417,359.717
8,7,1,269.706,280.904,80.41
7,8,3,358.296,238.298,3.927
2,5,0,103.664,269.381,232.173
0,6,8,338.94,192.559,325.106
8,5,0,29.056,306.685,295.736
2,5,5,42.204,66.856,5.208
8,3,7,114.12,317.75,19.711
6,2,4,55.274,114.193,242.653
3,8,6,56.748,313.092,132.618
4,1,5,333.098,56.79,221.33
3,8,2,74.575,309.052,145.792
7,2,4,154.419,168.41,136.568
3,2,2,287.3,109.887,280.068
8,8,4,314.205,238.73,72.398
1,0,4,265.569,156.778,224.887
2,3,0,273.602,179.311,98.45
0,1,5,304.504,350.395,340.867
1,6,5,163.61,161.786,180.712
5,4,5,232.188,210.582,111.251
0,1,0,333.3,201.571,54.415
8,7,8,115.102,50.526,105.428
8,3,5,212.61,115.318,80.727
5,6,3,185.101,184.684,283.202
1,6,7,2.625,113.508,33.338
8,3,6,285.604,114.09,279.373
4,4,0,217.935,80.542,139.222
6,2,0,99.676,246.372,95.562
2,0,4,258.938,131.632,121.37
4,4,3,61.628,31.724,212.807
5,7,0,358.409,166.719,195.743
8,0,1,12.892,341.802,132.612
2,6,2,71.062,190.774,176.895
8,6,2,305.303,352.209,58.531
5,2,1,205.945,89.662,193.085
8,7,6,81.007,31.703,255.717
2,2,8,122.683,286.64,234.495
1,0,2,218.998,221.547,319.366
8,7,2,228.966,56.222,177.488
5,3,1,30.351,314.329,8.184
3,6,3,19.573,13.077,284.699
8,3,7,274.089,239.517,291.969
6,7,6,353.616,60.855,354.634
0,3,3,202.88,10.601,64.236
7,6,5,354.45,208.522,345.346
5,8,1,252.267,171.002,87.476
4,2,7,10.747,46.903,308.712
0,6,0,70.598,191.694,250.768
4,0,7,199.579,315.906,10.34
5,8,7,182.252,61.907,175.714
3,1,2,258.118,305.173,165.226
4,8,5,238.31,74.773,290.897
4,6,8,14.96,215.535,324.502
3,8,5,32.843,124.498,350.747
0,7,3,131.501,306.527,43.371
8,4,4,219.002,193.266,55.248
8,5,1,149.393,182.777,43.838
8,7,0,49.703,196.071,304.324
3,0,7,56.404,281.386,190.678
0,3,4,306.802,277.433,206.374
8,7,5,306.644,195.161,265.347
0,7,4,294.592,36.912,163.566
8,2,2,328.945,319.406,309.128
8,2,5,306.405,174.961,225.734
0,3,2,245.56,234.988,91.586
4,1,7,255.17,192.689,128.734
8,6,0,23.682,79.464,340.352
7,2,4,135.613,223.516,283.495
5,7,6,139.439,71.789,214.399
6,6,4,207.915,182.063,26.447
2,7,2,300.363,100.179,58.034
7,5,5,151.509,240.388,137.288
1,7,7,282.661,39.365,358.612
4,0,3,262.273,48.449,126.188
3,3,8,356.703,281.777,350.171
7,0,7,258.304,166.872,215.973
1,4,5,229.162,27.059,26.045
2,2,3,28.398,130.542,174.992
8,2,4,71.06,237.17,265.541
0,0,3,40.252,232.125,169.975
5,3,3,270.877,99.363,320.478
1,4,3,239.985,31.75,325.555
6,3,7,97.306,264.771,197.683
5,0,0,141.345,150.984,187.537
5,0,2,29.628,63.944,225.055
1,5,0,224.415,62.199,182.681
1,8,2,321.912,171.725,75.28
3,6,6,296.229,349.818,27.229
4,0,4,42.167,239.08,305.986
7,6,0,144.007,17.596,45.659
8,2,8,292.296,21.795,6.445
2,1,8,308.37,266.974,345.892
3,1,3,167.769,316.602,87.549
7,4,2,275.693,228.866,160.307
3,2,8,356.287,231.541,291.101
1,2,2,207.576,240.665,110.664
